pfp;block;year;quart;tile;category;data1;data2;data3;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2;isParent;addClass
Факт;КБ;42018;42018;КР на персонал;Единовременные премии;0;0.2;-100%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Материальная помощь;0.1;0.2;-50%;;;;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения1;Факт 3М'17;5;8.8;8.8;;;#dfdfdf;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения1;Налоги на<br>заработную плату;8.8;9.0;+2%;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения1;Индексация;9.0;9.3;+3%;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения1;Расходы соц. хар-ра;9.3;9.4;+1%;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения1;Сокращение резерва<br>на отпуска;9.4;9.5;-1%;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения1;Сокращение среднесп.<br>численности;9.5;9.6;+1%;;;#61db96;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения1;Централизация;9.6;9.9;+3%;;;#61db96;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения1;Факт 3М'18;5;9.9;9.9;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения2;Факт 3М'17;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения2;ЦА;76.8;79.1;+33.8%;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения2;ПЦП;79.1;83.0;+21.3%;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения2;ТБ;83.0;83.4;+1.3%;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения2;ВСП;83.4;84.7;+6.4%;;;#6EC7F7;;;;;;;parent;
Факт;КБ;42018;42018;Факторы изменения2;Факт 3М'18;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
Факт;КБ;42018;42018;Динамика расходов на персонал;2016;н/д;н/д;;;;;;;;;;;parent;
Факт;КБ;42018;42018;Динамика расходов на персонал;2017;36;35;;;;;;;;;;;parent;
Факт;КБ;42018;42018;Динамика расходов на персонал;2018;14;38;;;;;;;;;;;parent;
Факт;КБ;42018;42018;Динамика расходов на персонал;2019;0;н/д;;;;;;;;;;;parent;
Факт;КБ;42018;42018;Динамика расходов на персонал;2020;0;н/д;;;;;;;;;;;parent;
План;КБ;42018;42018;Показатели;Соблюдение<br>лимита на оплату<br>труда по Блокам;;;;;;;;;;;;;parent;
План;КБ;42018;42018;Показатели;Среднемес. норм. доход<br>на 1 сотрудника;105.2;;;тыс. руб;;;;;;;;;parent;
План;КБ;42018;42018;Показатели;Средний разряд<br>Москва;11.1;;;;;;;;;;;;parent;
План;КБ;42018;42018;Показатели;Средний разряд<br>Регионы;8.9;;;;;;;;;;;;parent;
План;КБ;42018;42018;Показатели;Фактическая численность;21;;;тыс. чел;;;;;;;;;parent;
План;КБ;42018;42018;График соблюдение лимита;;0;1;;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Персонал;38.0;38.2;-0.5%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Расходы на персонал;37.7;38.1;-1.1%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Зарплата и премия;18.7;18.8;-0.5%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Налоги на зарплату;6.3;6.3;0%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Резервы на вознаграждения за год;6.3;6.7;-5.9%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Долгосрочные обязательтва Risk-takers;н/д;н/д;н/д;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Резервы на квартальное премирование;6.3;6.3;0%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Расходы социального характера;0.3;0.1;+66.7%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Выплаты при увольнении сотрудников;0.2;0.1;+100%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;ДМС;0.1;0;н/д;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Единовременные премии;0;0;0%;;;;;;;;;;parent;
План;КБ;42018;42018;КР на персонал;Материальная помощь;0.1;0.1;0%;;;;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения1;Факт 3М'17;5;8.8;8.8;;;#dfdfdf;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения1;Налоги на<br>заработную плату;8.8;9.0;+2%;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения1;Индексация;9.0;9.3;+3%;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения1;Расходы соц. хар-ра;9.3;9.4;+1%;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения1;Сокращение резерва<br>на отпуска;9.4;9.5;-1%;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения1;Сокращение среднесп.<br>численности;9.5;9.6;+1%;;;#61db96;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения1;Централизация;9.6;9.9;+3%;;;#61db96;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения1;Факт 3М'18;5;9.9;9.9;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения2;Факт 3М'17;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения2;ЦА;76.8;79.1;+33.8%;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения2;ПЦП;79.1;83.0;+21.3%;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения2;ТБ;83.0;83.4;+1.3%;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения2;ВСП;83.4;84.7;+6.4%;;;#6EC7F7;;;;;;;parent;
План;КБ;42018;42018;Факторы изменения2;Факт 3М'18;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
План;КБ;42018;42018;Динамика расходов на персонал;2016;н/д;н/д;;;;;;;;;;;parent;
План;КБ;42018;42018;Динамика расходов на персонал;2017;36;35;;;;;;;;;;;parent;
План;КБ;42018;42018;Динамика расходов на персонал;2018;14;38;;;;;;;;;;;parent;
План;КБ;42018;42018;Динамика расходов на персонал;2019;0;н/д;;;;;;;;;;;parent;
План;КБ;42018;42018;Динамика расходов на персонал;2020;0;н/д;;;;;;;;;;;parent;
