pfp;block;year;quart;category;radius;title;text;lat;long;;fact;%;бабл;;
Факт;все;12018;12018;Карта OPEX по ТБ;19;Волго-Вятский банк;Волго-Вятский банк: 10.7 млрд.руб;55.670318;47.881094;;10.7;;19;;
Факт;все;12018;12018;Карта OPEX по ТБ;9;Дальневосточный банк;Дальневосточный банк: 5 млрд.руб;55.3425;138.8416;;5;;9;;
Факт;все;12018;12018;Карта OPEX по ТБ;9;Западно-Сибирский банк;Западно-Сибирский банк: 4.8 млрд.руб;63.555525;71.550048;;4.8;;9;;
Факт;все;12018;12018;Карта OPEX по ТБ;0;Западно-Уральский банк;Западно-Уральский банк: 0;61.540537;52.971007;;0;;0;;
Факт;все;12018;12018;Карта OPEX по ТБ;27;Московский банк;Московский банк: 14.8 млрд.руб;55.629177;37.633741;;14.8;;27;;
Факт;все;12018;12018;Карта OPEX по ТБ;15;Поволжский банк;Поволжский банк: 8.6 млрд.руб;50.822803;44.838229;;8.6;;15;;
Факт;все;12018;12018;Карта OPEX по ТБ;0;Северный банк;Северный банк;67.690249;48.818185;;0;;0;;
Факт;все;12018;12018;Карта OPEX по ТБ;22;Северо-Западный банк;Северо-Западный банк: 12.1 млрд.руб;67.381542;33.467618;;12.1;;22;;
Факт;все;12018;12018;Карта OPEX по ТБ;15;Сибирский банк;Сибирский банк: 8.5 млрд.руб;64.869264;93.719162;;8.5;;15;;
Факт;все;12018;12018;Карта OPEX по ТБ;7;Среднерусский банк;Среднерусский банк: 12.7 млрд.руб;54.817428;33.854468;;12.7;;7;;
Факт;все;12018;12018;Карта OPEX по ТБ;14;Уральский банк;Уральский банк: 7.8 млрд.руб;56.607673;59.689390;;7.8;;14;;
Факт;все;12018;12018;Карта OPEX по ТБ;10;Центрально-Черноземный банк;Центрально-Черноземный банк: 5.4 млрд.руб;52.636269;39.100789;;5.4;;10;;
Факт;все;12018;12018;Карта OPEX по ТБ;17;Юго-Западный банк;Юго-Западный банк: 9.4 млрд.руб;44.223498;41.138609;;9.4;;17;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.896254;37.567722;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Байкальский банк;Байкальский банк;70.111249;138.336540;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Волго-Вятский банк;Волго-Вятский банк;55.670318;47.881094;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Дальневосточный банк;Дальневосточный банк;55.3425;138.8416;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Западно-Сибирский банк;Западно-Сибирский банк;63.555525;71.550048;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Западно-Уральский банк;Западно-Уральский банк;61.540537;52.971007;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Московский банк;Московский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Поволжский банк;Поволжский банк;50.822803;44.838229;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Северный банк;Северный банк;67.690249;48.818185;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Северо-Западный банк;Северо-Западный банк;67.381542;33.467618;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Сибирский банк;Сибирский банк;64.869264;93.719162;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Среднерусский банк;Среднерусский банк;54.817428;33.854468;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Уральский банк;Уральский банк;56.607673;59.689390;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Центрально-Черноземный банк;Центрально-Черноземный банк;52.636269;39.100789;;0;;;;
Факт;КБ;42018;42018;Карта OPEX по ТБ;0;Юго-Западный банк;Юго-Западный банк;44.223498;41.138609;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Подразделения ЦА;Подразделения ЦА;55.629177;37.633741;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Байкальский банк;Байкальский банк;70.111249;138.336540;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Волго-Вятский банк;Волго-Вятский банк;55.670318;47.881094;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Дальневосточный банк;Дальневосточный банк;55.3425;138.8416;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Западно-Сибирский банк;Западно-Сибирский банк;63.555525;71.550048;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Западно-Уральский банк;Западно-Уральский банк;61.540537;52.971007;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Московский банк;Московский банк;55.629177;37.633741;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Поволжский банк;Поволжский банк;50.822803;44.838229;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Северный банк;Северный банк;67.690249;48.818185;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Северо-Западный банк;Северо-Западный банк;67.381542;33.467618;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Сибирский банк;Сибирский банк;64.869264;93.719162;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Среднерусский банк;Среднерусский банк;54.817428;33.854468;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Уральский банк;Уральский банк;56.607673;59.689390;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Центрально-Черноземный банк;Центрально-Черноземный банк;52.636269;39.100789;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Юго-Западный банк;Юго-Западный банк;44.223498;41.138609;;0;;;;
План;все;42018;42018;Карта OPEX по ТБ;30;Подразделения ЦА;Центральный Аппарат: 16.6 млрд.руб;55.896254;37.567722;;16.6;;30;;
План;все;42018;42018;Карта OPEX по ТБ;8;Байкальский банк;Байкальский банк: 4.5 млрд.руб;70.111249;138.336540;;4.5;;8;;
План;все;42018;42018;Карта OPEX по ТБ;19;Волго-Вятский банк;Волго-Вятский банк: 10.7 млрд.руб;55.670318;47.881094;;10.7;;19;;
План;все;42018;42018;Карта OPEX по ТБ;9;Дальневосточный банк;Дальневосточный банк: 5 млрд.руб;55.3425;138.8416;;5;;9;;
План;все;42018;42018;Карта OPEX по ТБ;9;Западно-Сибирский банк;Западно-Сибирский банк: 4.8 млрд.руб;63.555525;71.550048;;4.8;;9;;
План;все;42018;42018;Карта OPEX по ТБ;0;Западно-Уральский банк;Западно-Уральский банк: 0;61.540537;52.971007;;0;;0;;
План;все;42018;42018;Карта OPEX по ТБ;27;Московский банк;Московский банк: 14.8 млрд.руб;55.629177;37.633741;;14.8;;27;;
План;все;42018;42018;Карта OPEX по ТБ;15;Поволжский банк;Поволжский банк: 8.6 млрд.руб;50.822803;44.838229;;8.6;;15;;
План;все;42018;42018;Карта OPEX по ТБ;0;Северный банк;Северный банк;67.690249;48.818185;;0;;0;;
План;все;42018;42018;Карта OPEX по ТБ;22;Северо-Западный банк;Северо-Западный банк: 12.1 млрд.руб;67.381542;33.467618;;12.1;;22;;
План;все;42018;42018;Карта OPEX по ТБ;15;Сибирский банк;Сибирский банк: 8.5 млрд.руб;64.869264;93.719162;;8.5;;15;;
План;все;42018;42018;Карта OPEX по ТБ;7;Среднерусский банк;Среднерусский банк: 12.7 млрд.руб;54.817428;33.854468;;12.7;;7;;
План;все;42018;42018;Карта OPEX по ТБ;14;Уральский банк;Уральский банк: 7.8 млрд.руб;56.607673;59.689390;;7.8;;14;;
План;все;42018;42018;Карта OPEX по ТБ;10;Центрально-Черноземный банк;Центрально-Черноземный банк: 5.4 млрд.руб;52.636269;39.100789;;5.4;;10;;
План;все;42018;42018;Карта OPEX по ТБ;17;Юго-Западный банк;Юго-Западный банк: 9.4 млрд.руб;44.223498;41.138609;;9.4;;17;;
План;КБ;42018;42018;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.896254;37.567722;;0;;;;
План;КБ;42018;42018;Карта OPEX по ТБ;0;Байкальский банк;Байкальский банк;70.111249;138.336540;;0;;;;
План;КБ;42018;42018;Карта OPEX по ТБ;0;Волго-Вятский банк;Волго-Вятский банк;55.670318;47.881094;;0;;;;
